,name,description,loss,loss_path,weights,a,shift,n,theta,nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
0,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,0.78539816339,68,255,51,0,104,4,1.0131432523411454,[ 0.18176369  0.17429612 -0.          0.34859222],[-6.50521303e-17  9.12984350e-09  0.00000000e+00 -4.56492205e-09],"[array([0.]), array([ 1.00027426e-03,  5.26489431e+00, -1.35764276e+00, -2.13294729e+00])]","[array([[ 1.,  1., -0.,  2.]]), array([[1., 0., 0., 0.],
       [0., 1., 0., 0.],
       [0., 0., 1., 0.],
       [0., 0., 0., 1.]])]","[255, 0]","[0, 0]","[0, 0]","[array([-0.17429611]), array([-7.46758258e-03, -7.18560702e-10,  0.00000000e+00,  0.00000000e+00])]",tr_interior_point,[ 1.00027426e-03  5.26489431e+00 -1.35764276e+00 -2.13294729e+00],9.129843501236519e-09,0.0,3.6285839080810547,0.5599995198631227,1.0,2.048000000000001e-09,2.048000000000001e-09,1,68,True,`gtol` termination condition is satisfied.
1,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,1.57079632679,78,325,65,0,115,4,1.1691552012250592,[ 2.83697635e-01  2.68208735e-01 -2.98023224e-08  5.36417430e-01],[ 5.37417333e-15  1.49315093e-08 -2.98023224e-08 -7.46575746e-09],"[array([0.]), array([ 1.00066112e-03,  4.60649980e+00, -5.55781783e-01, -1.80375023e+00])]","[array([[ 1.,  1., -0.,  2.]]), array([[1., 0., 0., 0.],
       [0., 1., 0., 0.],
       [0., 0., 1., 0.],
       [0., 0., 0., 1.]])]","[325, 0]","[0, 0]","[0, 0]","[array([-0.26820872]), array([-1.54889164e-02, -1.14864928e-09,  0.00000000e+00,  0.00000000e+00])]",tr_interior_point,[ 1.00066112e-03  4.60649980e+00 -5.55781783e-01 -1.80375023e+00],2.9802322387695312e-08,0.0,3.7054898738861084,1.0000000000000005e-09,1.0,2.048000000000001e-09,2.048000000000001e-09,2,78,True,`xtol` termination condition is satisfied.
2,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,2.35619449019,102,500,100,0,191,1,1.8142545946905748,[ 0.06719507  0.06552462 -0.          0.13104926],[-4.55364912e-18 -5.06328684e-09  0.00000000e+00  2.53164342e-09],"[array([0.]), array([ 1.00613035e-03,  1.59823558e+01, -1.81092649e-01, -7.49168098e+00])]","[array([[ 1.,  1., -0.,  2.]]), array([[1., 0., 0., 0.],
       [0., 1., 0., 0.],
       [0., 0., 1., 0.],
       [0., 0., 0., 1.]])]","[500, 0]","[0, 0]","[0, 0]","[array([-0.06552463]), array([-1.67044609e-03, -6.20921998e-10,  0.00000000e+00,  0.00000000e+00])]",tr_interior_point,[ 1.00613035e-03  1.59823558e+01 -1.81092649e-01 -7.49168098e+00],5.0632868353233295e-09,0.0,20.695021867752075,2872640.184181686,1.0,1.0240000000000006e-08,1.0240000000000006e-08,1,102,True,`gtol` termination condition is satisfied.
3,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,3.14159265359,87,475,95,0,139,4,1.55892786606642,[-7.09787745e-01 -6.84368998e-01 -2.38418579e-07 -1.41957569e+00],[ 7.50287295e-08  3.88925003e-15 -2.38418579e-07 -3.75143663e-08],"[array([4.4408921e-16]), array([ 3.34994467e+00,  1.00041836e-03,  6.09232434e-01, -1.17547255e+00])]","[array([[1., 1., 0., 2.]]), array([[1., 0., 0., 0.],
       [0., 1., 0., 0.],
       [0., 0., 1., 0.],
       [0., 0., 0., 1.]])]","[475, 0]","[0, 0]","[0, 0]","[array([0.70978783]), array([-7.30131302e-09, -2.54188297e-02,  0.00000000e+00,  0.00000000e+00])]",tr_interior_point,[ 3.34994467e+00  1.00041836e-03  6.09232434e-01 -1.17547255e+00],2.384185791015625e-07,4.440892098500626e-16,12.901788711547852,1.0000000000000005e-09,1.0,2.048000000000001e-09,2.048000000000001e-09,2,87,True,`xtol` termination condition is satisfied.
4,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,0.78539816339,91,728,104,0,226,2,0.7283574740248859,"[ 7.71183148e-02  7.69530174e-02  1.98010448e-08  1.53906014e-01
 -7.69529125e-02  7.69530505e-02]","[5.07096643e-13 1.68256994e-08 1.98010448e-08 1.25987616e-08
 9.20014212e-08 4.99776963e-08]","[array([1.77635684e-15]), array([ 1.06192342e-03,  4.63888506e+01, -2.63390467e+00, -2.85027730e+01,
       -1.45591382e+00,  1.01597195e+01])]","[array([[ 1.        ,  1.        , -0.        ,  2.        , -1.00000005,
         1.        ]]), array([[1., 0., 0., 0., 0., 0.],
       [0., 1., 0., 0., 0., 0.],
       [0., 0., 1., 0., 0., 0.],
       [0., 0., 0., 1., 0., 0.],
       [0., 0., 0., 0., 1., 0.],
       [0., 0., 0., 0., 0., 1.]])]","[728, 0]","[0, 0]","[0, 0]","[array([-0.076953]), array([-1.65314237e-04, -5.19687326e-11,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00])]",tr_interior_point,"[ 1.06192342e-03  4.63888506e+01 -2.63390467e+00 -2.85027730e+01
 -1.45591382e+00  1.01597195e+01]",9.200142117582466e-08,1.7763568394002505e-15,22.11826801300049,4.429606119954493e-09,1.0,2.048000000000001e-09,2.048000000000001e-09,2,91,True,`xtol` termination condition is satisfied.
5,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,1.57079632679,105,889,127,0,337,2,0.7989328386263561,"[ 1.25225410e-01  1.24866456e-01 -2.08811185e-07  2.49732731e-01
 -1.24866293e-01  1.24866394e-01]","[ 7.00440964e-12  8.38582262e-08 -2.08811185e-07 -1.31682520e-08
  7.92870653e-08  2.17583385e-08]","[array([1.77635684e-15]), array([ 1.14255581e-03,  3.94141534e+01,  1.81972825e+00, -2.40453275e+01,
       -2.66590083e+00,  7.00945816e+00])]","[array([[ 1.,  1.,  0.,  2., -1.,  1.]]), array([[1., 0., 0., 0., 0., 0.],
       [0., 1., 0., 0., 0., 0.],
       [0., 0., 1., 0., 0., 0.],
       [0., 0., 0., 1., 0., 0.],
       [0., 0., 0., 0., 1., 0.],
       [0., 0., 0., 0., 0., 1.]])]","[889, 0]","[0, 0]","[0, 0]","[array([-0.12486637]), array([-3.59037975e-04, -1.05946130e-10,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00])]",tr_interior_point,"[ 1.14255581e-03  3.94141534e+01  1.81972825e+00 -2.40453275e+01
 -2.66590083e+00  7.00945816e+00]",2.0881118510624333e-07,1.7763568394002505e-15,24.86895728111267,9.74223714635457e-09,1.0,2.048000000000001e-09,2.048000000000001e-09,2,105,True,`xtol` termination condition is satisfied.
6,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,2.35619449019,131,1092,156,0,380,2,0.8524577139439065,"[ 1.35879286e-01  1.35328742e-01  5.57951343e-09  2.70657827e-01
 -1.35329718e-01  1.35329500e-01]","[ 8.33500153e-13 -3.45180563e-07  5.57951343e-09 -3.48348921e-07
 -6.29078065e-07  4.12799499e-07]","[array([-1.77635684e-15]), array([ 1.04082742e-03,  3.47416961e+01,  2.67069188e+00, -2.10618198e+01,
       -2.68560979e+00,  5.69529293e+00])]","[array([[ 1.        ,  1.        ,  0.        ,  2.        , -1.00000001,
         1.        ]]), array([[1., 0., 0., 0., 0., 0.],
       [0., 1., 0., 0., 0., 0.],
       [0., 0., 1., 0., 0., 0.],
       [0., 0., 0., 1., 0., 0.],
       [0., 0., 0., 0., 1., 0.],
       [0., 0., 0., 0., 0., 1.]])]","[1092, 0]","[0, 0]","[0, 0]","[array([-0.13532909]), array([-5.50197985e-04,  2.27051117e-10,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00])]",tr_interior_point,"[ 1.04082742e-03  3.47416961e+01  2.67069188e+00 -2.10618198e+01
 -2.68560979e+00  5.69529293e+00]",6.290780645568095e-07,1.7763568394002505e-15,39.13298487663269,6.75967020919243e-09,1.0,2.048000000000001e-09,2.048000000000001e-09,2,131,True,`xtol` termination condition is satisfied.
7,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,3.14159265359,110,945,135,0,352,2,0.983965662544545,"[-3.11116881e-01 -3.10376599e-01  2.23517418e-08 -6.22233944e-01
  3.11116892e-01 -3.11116941e-01]","[ 6.23824596e-08  3.41977976e-12  2.23517418e-08 -5.75335926e-08
 -5.07515577e-08  1.92974836e-09]","[array([8.8817842e-16]), array([ 2.54440797e+01,  1.06936064e-03,  6.83054971e-01, -1.51349210e+01,
       -4.94694361e+00,  8.77749304e-01])]","[array([[ 1.,  1.,  0.,  2., -1.,  1.]]), array([[1., 0., 0., 0., 0., 0.],
       [0., 1., 0., 0., 0., 0.],
       [0., 0., 1., 0., 0., 0.],
       [0., 0., 0., 1., 0., 0.],
       [0., 0., 0., 0., 1., 0.],
       [0., 0., 0., 0., 0., 1.]])]","[945, 0]","[0, 0]","[0, 0]","[array([0.31111694]), array([-1.76859246e-10, -7.40343769e-04,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00])]",tr_interior_point,"[ 2.54440797e+01  1.06936064e-03  6.83054971e-01 -1.51349210e+01
 -4.94694361e+00  8.77749304e-01]",6.238245959050752e-08,8.881784197001252e-16,28.56437039375305,1.0000000000000005e-09,1.0,2.048000000000001e-09,2.048000000000001e-09,2,110,True,`xtol` termination condition is satisfied.
8,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,3,0.78539816339,1000,9171,1019,0,1558,2,0.6377912399146236,"[ 4.43645636e-02  4.43607035e-02 -8.34740429e-07  8.87223418e-02
 -4.43637042e-02  4.43636405e-02  8.48482953e-07  1.03002230e-07]","[ 2.33770745e-06 -1.45213125e-06 -8.34740429e-07 -1.96245177e-06
 -1.55093322e-06  1.48839422e-06  8.48482953e-07  1.03002230e-07]","[array([-9.14823772e-14]), array([  18.36198546,  365.6004311 ,  -29.98117654, -286.62679057,
        -27.26943326,  163.02173133,   25.51776343,  -32.04403636])]","[array([[ 0.99999994,  1.        , -0.        ,  2.        , -1.00000003,
         1.        ,  0.        , -0.        ]]), array([[1., 0., 0., 0., 0., 0., 0., 0.],
       [0., 1., 0., 0., 0., 0., 0., 0.],
       [0., 0., 1., 0., 0., 0., 0., 0.],
       [0., 0., 0., 1., 0., 0., 0., 0.],
       [0., 0., 0., 0., 1., 0., 0., 0.],
       [0., 0., 0., 0., 0., 1., 0., 0.],
       [0., 0., 0., 0., 0., 0., 1., 0.],
       [0., 0., 0., 0., 0., 0., 0., 1.]])]","[9171, 0]","[0, 0]","[0, 0]","[array([-0.04436215]), array([-7.66472629e-08, -3.49023541e-09,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00])]",tr_interior_point,"[  18.36198546  365.6004311   -29.98117654 -286.62679057  -27.26943326
  163.02173133   25.51776343  -32.04403636]",2.3377074520648616e-06,9.14823772291129e-14,368.19204688072205,1.5374250846009411e-06,1.0,1.2800000000000007e-06,1.2800000000000007e-06,0,1000,False,The maximum number of function evaluations is exceeded.
9,fourier,Configuration to test the Fourier Pulses with differents shifts and n for Ito integrals up to theta.,FourierLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,3,1.57079632679,1000,9855,1095,0,2437,2,0.6780471089050139,"[ 7.53077758e-02  7.53013928e-02 -2.57382548e-06  1.50608750e-01
 -7.53058281e-02  7.53074759e-02  1.21508286e-06 -2.58790505e-07]","[ 1.87005130e-06 -3.47380193e-06 -2.57382548e-06 -9.83485593e-07
 -9.61431462e-07  2.60929122e-06  1.21508286e-06 -2.58790505e-07]","[array([-7.57172103e-14]), array([   1.32543244,  291.69120468,   12.66163532, -217.36442821,
        -37.52216072,  105.19005858,   18.8121997 ,  -17.76343468])]","[array([[ 0.99999954,  1.        ,  0.        ,  2.        , -1.        ,
         1.        ,  0.        , -0.        ]]), array([[1., 0., 0., 0., 0., 0., 0., 0.],
       [0., 1., 0., 0., 0., 0., 0., 0.],
       [0., 0., 1., 0., 0., 0., 0., 0.],
       [0., 0., 0., 1., 0., 0., 0., 0.],
       [0., 0., 0., 0., 1., 0., 0., 0.],
       [0., 0., 0., 0., 0., 1., 0., 0.],
       [0., 0., 0., 0., 0., 0., 1., 0.],
       [0., 0., 0., 0., 0., 0., 0., 1.]])]","[9855, 0]","[0, 0]","[0, 0]","[array([-0.07530487]), array([-1.07382169e-06,  5.72256776e-12,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00])]",tr_interior_point,"[   1.32543244  291.69120468   12.66163532 -217.36442821  -37.52216072
  105.19005858   18.8121997   -17.76343468]",3.4738019304222354e-06,7.571721027943568e-14,411.51519227027893,3.305431355094546e-07,1.0,1.0240000000000006e-08,1.0240000000000006e-08,0,1000,False,The maximum number of function evaluations is exceeded.
