,name,description,loss,loss_path,weights,a,scale,n,theta,nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,status,niter,success,message
0,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,1,0.78539816339,1,2,1,0,0,0,2.6756390586528274,[0.48270714],[0.],"[array([0.]), array([1.])]","[array([[1.]]), array([[1.]])]","[2, 0]","[0, 0]","[0, 0]","[array([-0.48270714]), array([0.])]",equality_constrained_sqp,[1.],0.0,0.0,0.006678104400634766,1.0,1.0,1,1,True,`gtol` termination condition is satisfied.
1,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,1,1.57079632679,1,2,1,0,0,0,2.9243403877979937,[0.09563375],[0.],"[array([0.]), array([1.])]","[array([[1.]]), array([[1.]])]","[2, 0]","[0, 0]","[0, 0]","[array([-0.09563375]), array([0.])]",equality_constrained_sqp,[1.],0.0,0.0,0.00536036491394043,1.0,1.0,1,1,True,`gtol` termination condition is satisfied.
2,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,1,2.35619449019,1,2,1,0,0,0,2.863996577941024,[-0.41472024],[0.],"[array([0.]), array([1.])]","[array([[1.]]), array([[1.]])]","[2, 0]","[0, 0]","[0, 0]","[array([0.41472024]), array([0.])]",equality_constrained_sqp,[1.],0.0,0.0,0.0042514801025390625,1.0,1.0,1,1,True,`gtol` termination condition is satisfied.
3,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,1,3.14159265359,1,2,1,0,0,0,2.6398008442062135,[-1.37671855],[0.],"[array([0.]), array([1.])]","[array([[1.]]), array([[1.]])]","[2, 0]","[0, 0]","[0, 0]","[array([1.37671855]), array([0.])]",equality_constrained_sqp,[1.],0.0,0.0,0.005146980285644531,1.0,1.0,1,1,True,`gtol` termination condition is satisfied.
4,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,2,0.78539816339,14,48,16,0,13,1,0.6532103604452867,[0.02381543 0.02381543],[-4.20603795e-10  4.20603816e-10],"[array([0.]), array([2., 0.])]","[array([[0.5, 0.5]]), array([[1., 0.],
       [0., 1.]])]","[48, 0]","[0, 0]","[0, 0]","[array([-0.04763087]), array([0., 0.])]",equality_constrained_sqp,[-3.06427755  5.06427755],4.206038156651104e-10,0.0,58.22771763801575,7.265101257313818,1.0,1,14,True,`gtol` termination condition is satisfied.
5,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,2,1.57079632679,29,69,23,0,28,1,0.6950870972351401,[0.0349527  0.03495272],[-1.10322887e-08  1.10322888e-08],"[array([-1.11022302e-16]), array([2., 0.])]","[array([[0.5, 0.5]]), array([[1., 0.],
       [0., 1.]])]","[69, 0]","[0, 0]","[0, 0]","[array([-0.06990542]), array([0., 0.])]",equality_constrained_sqp,[-1.53805991  3.53805991],1.1032288763090925e-08,1.1102230246251565e-16,82.96790385246277,3.200615887459176e-09,1.0,2,29,True,`xtol` termination condition is satisfied.
6,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,2,2.35619449019,13,42,14,0,12,1,0.8177571672597219,[-0.04918729 -0.04918731],[ 9.48118856e-09 -9.48118858e-09],"[array([-2.22044605e-16]), array([2., 0.])]","[array([[0.5, 0.5]]), array([[1., 0.],
       [0., 1.]])]","[42, 0]","[0, 0]","[0, 0]","[array([0.0983746]), array([0., 0.])]",equality_constrained_sqp,[ 4.40911739 -2.40911739],9.481188584237188e-09,2.220446049250313e-16,58.63067388534546,6.565373713301683,1.0,1,13,True,`gtol` termination condition is satisfied.
7,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,2,3.14159265359,18,66,22,0,17,1,0.7810715704194817,[-0.08065935 -0.0806594 ],[ 2.10386812e-08 -2.10386813e-08],"[array([0.]), array([2., 0.])]","[array([[0.5, 0.5]]), array([[1., 0.],
       [0., 1.]])]","[66, 0]","[0, 0]","[0, 0]","[array([0.16131875]), array([0., 0.])]",equality_constrained_sqp,[ 3.30418404 -1.30418404],2.103868128322528e-08,0.0,97.19195866584778,3.569769429800734e-09,1.0,2,18,True,`xtol` termination condition is satisfied.
8,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,3,0.78539816339,19,76,19,0,22,1,0.6530960158635265,[0.02373109 0.04746217 0.0237311 ],[ 3.37792314e-09 -6.44439042e-09  9.51085767e-09],"[array([0.]), array([2., 0., 0.])]","[array([[0.5, 1. , 0.5]]), array([[1., 0., 0.],
       [0., 1., 0.],
       [0., 0., 1.]])]","[76, 0]","[0, 0]","[0, 0]","[array([-0.04746217]), array([0., 0., 0.])]",equality_constrained_sqp,[-3.0372899  -0.02716795  5.09162581],9.510857674338569e-09,0.0,149.05908966064453,22.95540736316167,1.0,1,19,True,`gtol` termination condition is satisfied.
9,gaussian,Configuration to test the Gaussian Pulses with differents shifts and n for Ito integrals up to theta.,GaussianLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.05,3,1.57079632679,23,92,23,0,25,4,0.6948265863590092,[0.03484435 0.06968869 0.03484434],[ 4.54832565e-09 -1.11103814e-09 -2.32624936e-09],"[array([-3.33066907e-16]), array([2., 0., 0.])]","[array([[0.5, 1. , 0.5]]), array([[1., 0., 0.],
       [0., 1., 0.],
       [0., 0., 1.]])]","[92, 0]","[0, 0]","[0, 0]","[array([-0.06968869]), array([0., 0., 0.])]",equality_constrained_sqp,[-1.51775267 -0.02059655  3.55894577],4.548325653608298e-09,3.3306690738754696e-16,153.93334007263184,4.549399424658467,1.0,1,23,True,`gtol` termination condition is satisfied.
