config.name,config.description,config.content.factory,config.content.factory_path,config.content.factory_args,config.content.ansatz_name,config.content.loss,config.content.loss_path,config.content.variable_args.scale,config.content.variable_args.n,config.content.variable_args.theta,config.content.variable_args.weights,config.content.static_args.a,config.content.static_args.has_vanishing_endpoints,args.a,args.has_vanishing_endpoints,args.scale,args.n,args.theta,args.weights,results.nit,results.nfev,results.njev,results.nhev,results.cg_niter,results.cg_stop_cond,results.fun,results.grad,results.lagrangian_grad,results.constr,results.jac,results.constr_nfev,results.constr_njev,results.constr_nhev,results.v,results.method,results.x,results.optimality,results.constr_violation,results.execution_time,results.tr_radius,results.constr_penalty,results.status,results.niter,results.success,results.message
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,0.78539816339,equal,78,480,80,0,86,4,1.3782889823828905,[0.17333562 0.24290711 0.25150193 0.19766491 0.10548381],"[-2.01082368e-05  2.75309290e-05  9.75753226e-06 -4.28521645e-05
  2.67164569e-05]","[array([-2.38391706e-09]), array([-2.91748056e-10]), array([-1.22505526e-08])]","[array([[0.49957093, 0.79146195, 0.90441928, 0.79146196, 0.49957094]]), array([[1.32980761, 0.93970626, 0.33159046, 0.05842767, 0.00514093]]), array([[0.0051409 , 0.05842771, 0.33159046, 0.93970625, 1.3298076 ]])]","[480, 480, 480]","[0, 0, 0]","[0, 0, 0]","[array([-0.27769898]), array([-0.02613501]), array([0.02512213])]",equality_constrained_sqp,[  2.15661293   4.89845918 -30.01819294  44.62869996 -24.27525183],4.2852164461072706e-05,1.2250552572368179e-08,275.07345700263977,197.63392944061601,1.0,1,78,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,0.78539816339,covariance,48,300,50,0,55,1,-0.5019157226068608,[0.17994478 0.25473768 0.26594781 0.21069024 0.11375484],"[-3.62410386e-06  6.08137276e-06 -2.29587754e-06 -2.47639708e-06
  2.06923839e-06]","[array([-3.51100198e-08]), array([2.32946445e-08]), array([-1.3918816e-07])]","[array([[0.49957085, 0.79146198, 0.9044193 , 0.79146196, 0.49957094]]), array([[1.32980752, 0.93970625, 0.33159047, 0.05842767, 0.00514093]]), array([[0.00514126, 0.05842766, 0.33159047, 0.93970625, 1.32980761]])]","[300, 300, 300]","[0, 0, 0]","[0, 0, 0]","[array([-0.29409505]), array([-0.0249328]), array([0.02503877])]",equality_constrained_sqp,[  0.64108692   8.05671558 -33.20620654  46.47624961 -24.91878667],6.081372762833633e-06,1.3918815966462716e-07,80.17358446121216,288.1213221550215,1.0,1,48,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,0.78539816339,variance,5,30,5,0,6,1,1.003356244419433,[0.00717701 0.01125436 0.01232576 0.00976649 0.00530129],"[-4.87679246e-05  6.79477099e-05  1.93991617e-05 -9.84081968e-05
  6.19058784e-05]","[array([3.49123845e-08]), array([-1.0651545e-08]), array([1.90404768e-08])]","[array([[0.49957094, 0.79146195, 0.90441927, 0.79146195, 0.49957094]]), array([[1.32980761, 0.93970625, 0.33159046, 0.05842767, 0.00514093]]), array([[0.00514093, 0.05842767, 0.33159047, 0.93970626, 1.32980761]])]","[30, 30, 30]","[0, 0, 0]","[0, 0, 0]","[array([-0.01403467]), array([-0.00016643]), array([0.00133311])]",equality_constrained_sqp,[ 2.46065712 -3.9654791   0.42961472  5.68361406 -3.95872317],9.84081968250269e-05,3.491238453889878e-08,4.554439067840576,28.81000307381766,1.0,1,5,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,0.78539816339,deterministic,17,102,17,0,23,4,0.5425666277522796,[0.10191347 0.1511945  0.16335139 0.13285179 0.07428949],"[ 9.92637794e-06 -1.64200376e-05  5.43085278e-06  7.89254049e-06
 -6.24837597e-06]","[array([-1.82798132e-09]), array([8.2351673e-09]), array([-1.09104548e-09])]","[array([[0.49957094, 0.79146204, 0.90441929, 0.79146195, 0.49957094]]), array([[1.32980761, 0.93970626, 0.33159046, 0.05842767, 0.00514093]]), array([[0.00514097, 0.05842751, 0.33159046, 0.93970626, 1.3298076 ]])]","[102, 102, 102]","[0, 0, 0]","[0, 0, 0]","[array([-0.18221899]), array([-0.00822457]), array([0.01261676])]",equality_constrained_sqp,[  8.5057654   -1.82361456 -40.2368214   67.39602269 -37.54490166],1.6420037595545446e-05,8.235167298087376e-09,37.09312391281128,270.02365647253635,1.0,1,17,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,0.78539816339,variance_plus_deterministic,21,138,23,0,33,4,1.8804867781743864,[0.09059656 0.13501652 0.1468347  0.1209824  0.06928613],"[ 3.17103703e-05 -4.65660814e-05 -3.97806853e-06  5.28124287e-05
 -3.44044905e-05]","[array([-2.08157758e-08]), array([9.01035013e-09]), array([1.12755885e-08])]","[array([[0.49957094, 0.79146196, 0.9044193 , 0.79146196, 0.49957094]]), array([[1.32980761, 0.93970626, 0.33159046, 0.05842767, 0.00514093]]), array([[0.00514091, 0.05842766, 0.33159046, 0.93970626, 1.3298076 ]])]","[138, 138, 138]","[0, 0, 0]","[0, 0, 0]","[array([-0.1632396]), array([-0.0068149]), array([0.00922258])]",equality_constrained_sqp,[ -6.51676258  30.34484314 -74.96150496  89.75212238 -46.03943195],5.281242869671805e-05,2.081577576973359e-08,95.95564579963684,540.4319718865829,1.0,1,21,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,1.57079632679,equal,159,954,159,0,164,4,1.594405551353974,[0.22433545 0.29132764 0.28337795 0.21147758 0.10435972],"[-1.70731865e-05  3.35265573e-05 -2.84797475e-05  1.11922292e-05
 -2.21453343e-06]","[array([-6.07451867e-10]), array([4.0529724e-10]), array([-7.38964445e-10])]","[array([[0.49957098, 0.79146196, 0.9044193 , 0.79146195, 0.49957094]]), array([[1.32980764, 0.93970625, 0.33159046, 0.05842767, 0.00514093]]), array([[0.00514086, 0.05842769, 0.33159047, 0.93970625, 1.3298076 ]])]","[954, 954, 954]","[0, 0, 0]","[0, 0, 0]","[array([-0.30744279]), array([-0.05335689]), array([0.03722483])]",equality_constrained_sqp,[ -1.56550839   9.35951767 -25.91209055  33.72025613 -17.77230028],3.3526557323157544e-05,7.389644451905042e-10,627.9439566135406,127.4478542502243,1.0,1,159,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,1.57079632679,covariance,144,864,144,0,149,4,-0.26689418282575034,[0.23440107 0.30890189 0.30419836 0.22936619 0.11483974],"[-1.69868072e-05  4.05969882e-05 -5.45573519e-05  4.50687453e-05
 -1.99617926e-05]","[array([-2.22223662e-09]), array([5.31117206e-10]), array([-1.40061829e-09])]","[array([[0.49957095, 0.79146195, 0.90441929, 0.79146195, 0.49957094]]), array([[1.32980761, 0.93970625, 0.33159046, 0.05842767, 0.00514093]]), array([[0.00514096, 0.05842767, 0.33159046, 0.93970625, 1.3298076 ]])]","[864, 864, 864]","[0, 0, 0]","[0, 0, 0]","[array([-0.33142596]), array([-0.05192056]), array([0.03833486])]",equality_constrained_sqp,[ -2.69784447  11.84907966 -28.76431584  35.70924672 -18.57161458],5.4557351859279776e-05,2.2222366169444285e-09,270.64852714538574,156.70813274680043,1.0,1,144,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,1.57079632679,variance,15,90,15,0,23,4,1.0251462570031482,[0.04121084 0.06379133 0.07111617 0.05982479 0.03516119],"[ 3.32731317e-06  3.22647627e-06 -2.97991535e-05  4.35640333e-05
 -2.35085886e-05]","[array([2.03179695e-11]), array([1.32510239e-09]), array([-1.14762599e-09])]","[array([[0.49957095, 0.79146196, 0.9044193 , 0.79146196, 0.49957094]]), array([[1.32980761, 0.93970625, 0.33159047, 0.05842767, 0.00514093]]), array([[0.00514091, 0.05842767, 0.33159047, 0.93970625, 1.32980761]])]","[90, 90, 90]","[0, 0, 0]","[0, 0, 0]","[array([-0.07949945]), array([-0.00113508]), array([0.00341158])]",equality_constrained_sqp,[-18.83663429  45.72324265 -63.58979576  56.51791122 -26.01814676],4.356403327069767e-05,1.3251023889271352e-09,31.084048748016357,253.41941121005632,1.0,1,15,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,1.57079632679,deterministic,130,786,131,0,137,4,0.694510773488181,[0.11615258 0.1626884  0.16728583 0.12803557 0.06403094],"[ 1.25691222e-05 -2.48454937e-05  2.15588695e-05 -9.00614781e-06
  2.03146695e-06]","[array([2.96996205e-09]), array([-1.96033048e-09]), array([-3.41864137e-09])]","[array([[0.49957085, 0.79146195, 0.90441929, 0.79146195, 0.49957094]]), array([[1.32980764, 0.93970625, 0.33159046, 0.05842767, 0.00514093]]), array([[0.00514126, 0.05842764, 0.33159047, 0.93970624, 1.3298076 ]])]","[786, 786, 786]","[0, 0, 0]","[0, 0, 0]","[array([-0.18668728]), array([-0.01728811]), array([0.02205094])]",equality_constrained_sqp,[ -0.44444674  10.64006721 -36.65290391  49.30488822 -26.16750554],2.484549369920902e-05,3.4186413699899276e-09,174.60211372375488,235.47839303543907,1.0,1,130,True,`gtol` termination condition is satisfied.
gaussian_medium_constrained,Configuration to test the Gaussian Pulses with constraints but fast.,GaussianFactory,pulse_opt.pulses.gaussian_factory,"['scale', 'n', 'has_vanishing_endpoints']",Gaussian superposition,GaussianLoss,pulse_opt.integrals.losses,[0.3],"[5, 7, 10, 12]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.3,5,1.57079632679,variance_plus_deterministic,84,510,85,0,94,4,2.0311374779827354,[0.13480814 0.19151006 0.20027353 0.15857151 0.08523928],"[ 4.21445637e-07  6.31732173e-06 -2.51741036e-05  3.32109530e-05
 -1.74704370e-05]","[array([8.76681838e-10]), array([-4.4701548e-11]), array([-1.2591741e-09])]","[array([[0.4995709 , 0.79146196, 0.9044193 , 0.79146196, 0.49957094]]), array([[1.32980759, 0.93970625, 0.33159046, 0.05842767, 0.00514093]]), array([[0.00514095, 0.05842766, 0.33159047, 0.93970624, 1.3298076 ]])]","[510, 510, 510]","[0, 0, 0]","[0, 0, 0]","[array([-0.22192545]), array([-0.0180775]), array([0.01932888])]",equality_constrained_sqp,[ -9.02363035  29.2542541  -57.36445406  63.21189346 -31.61507991],3.321095302306204e-05,1.2591740983225463e-09,215.76100134849548,402.3335437827144,1.0,1,84,True,`gtol` termination condition is satisfied.
