config.name,config.description,config.content.factory,config.content.factory_path,config.content.factory_args,config.content.ansatz_name,config.content.loss,config.content.loss_path,config.content.variable_args.shift,config.content.variable_args.n,config.content.variable_args.theta,config.content.variable_args.weights,config.content.static_args.a,config.content.static_args.has_vanishing_endpoints,args.a,args.has_vanishing_endpoints,args.shift,args.n,args.theta,args.weights,results.nit,results.nfev,results.njev,results.nhev,results.cg_niter,results.cg_stop_cond,results.fun,results.grad,results.lagrangian_grad,results.constr,results.jac,results.constr_nfev,results.constr_njev,results.constr_nhev,results.v,results.method,results.x,results.optimality,results.constr_violation,results.execution_time,results.tr_radius,results.constr_penalty,results.status,results.niter,results.success,results.message
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,0.78539816339,equal,543,3258,543,0,547,1,1.2807260283906554,[0.26020227 0.11384044 0.06949137 0.04723153 0.03397495],"[ 3.46944695e-18 -5.76156649e-06  2.80769013e-05 -4.03023437e-05
  1.79870092e-05]","[array([-1.09196563e-09]), array([3.24192004e-17]), array([-1.41513112e-09])]","[array([[1.        , 0.5       , 0.33333333, 0.24999999, 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 1.        , 1.        , 1.00000001, 1.        ]])]","[3258, 3258, 3258]","[0, 0, 0]","[0, 0, 0]","[array([-0.26629747]), array([-0.01320733]), array([0.01930253])]",equality_constrained_sqp,"[ 3.24192004e-17 -5.59166469e+01  1.22010922e+02  3.01374233e+01
 -9.62316981e+01]",4.0302343704053806e-05,1.4151311233945307e-09,11.164058208465576,435.13025042427694,1.0,1,543,True,`gtol` termination condition is satisfied.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,0.78539816339,covariance,286,1722,287,0,291,1,-0.5896009705427651,[0.27681518 0.12253577 0.0750174  0.05118194 0.03700825],"[ 3.81639165e-17  1.33841386e-06  1.65379223e-05 -5.21316181e-05
  3.42552832e-05]","[array([-2.81600165e-09]), array([5.27217833e-17]), array([-1.50040478e-08])]","[array([[1.        , 0.5       , 0.33333333, 0.25      , 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 1.        , 1.        , 1.00000002, 1.        ]])]","[1722, 1722, 1722]","[0, 0, 0]","[0, 0, 0]","[array([-0.28520144]), array([-0.01168003]), array([0.02006629])]",equality_constrained_sqp,"[ 5.27217833e-17 -5.36823253e+01  1.17356473e+02  2.91433574e+01
 -9.28175050e+01]",5.2131618073027186e-05,1.500404778198572e-08,2.7581100463867188,127.15132890033811,1.0,1,286,True,`gtol` termination condition is satisfied.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,0.78539816339,variance,1,6,1,0,0,0,1.0049543945337187,[0.01832637 0.00775195 0.0044592  0.00293204 0.00208341],"[ 5.20417043e-18  4.26025024e-05 -8.48456492e-05 -2.93599176e-05
  7.16030647e-05]","[array([-1.11022302e-16]), array([3.34789742e-16]), array([-1.33226763e-15])]","[array([[1.00000001, 0.5       , 0.33333335, 0.25000001, 0.2       ]]), array([[ 1.,  0.,  0., -0., -0.]]), array([[1.        , 1.        , 1.        , 1.00000001, 1.        ]])]","[6, 6, 6]","[0, 0, 0]","[0, 0, 0]","[array([-0.01899181]), array([-0.00112112]), array([0.00178656])]",equality_constrained_sqp,"[ 3.34789742e-16  3.45381526e+00  2.40963855e-01 -1.36546185e+00
 -2.32931727e+00]",8.484564917108067e-05,1.3322676295501878e-15,0.0005896091461181641,1.0,1.0,1,1,True,`gtol` termination condition is satisfied.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,0.78539816339,deterministic,14,96,16,0,19,1,0.4687353523131573,[0.15856807 0.07179391 0.04478738 0.03134148 0.02331244],"[ 8.67361738e-18  2.14949159e-05 -4.21414682e-05 -1.65922458e-05
  3.72387980e-05]","[array([-1.65042522e-08]), array([3.5246428e-16]), array([-3.3110183e-08])]","[array([[1.        , 0.5       , 0.33333333, 0.25      , 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 1.        , 1.        , 0.99999999, 1.        ]])]","[96, 96, 96]","[0, 0, 0]","[0, 0, 0]","[array([-0.16165739]), array([-0.00596696]), array([0.00905628])]",equality_constrained_sqp,"[ 3.52464280e-16 -1.02619007e+02  2.16919608e+02  5.72617554e+01
 -1.71562356e+02]",4.214146816344279e-05,3.311018303975288e-08,0.3041341304779053,100.79033076836025,1.0,1,14,True,`gtol` termination condition is satisfied.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,0.78539816339,variance_plus_deterministic,15,102,17,0,24,1,1.852889102517036,[0.15225312 0.07062826 0.04428212 0.03116708 0.02337641],"[-5.55111512e-17  2.83389202e-05 -5.13369604e-05 -3.31349661e-05
  5.61330075e-05]","[array([-9.92334748e-09]), array([-4.08614553e-16]), array([7.44562669e-08])]","[array([[1.        , 0.5       , 0.33333334, 0.25      , 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 0.99999999, 1.        , 1.00000003, 1.        ]])]","[102, 102, 102]","[0, 0, 0]","[0, 0, 0]","[array([-0.15759881]), array([-0.00285379]), array([0.00819948])]",equality_constrained_sqp,"[-4.08614553e-16 -8.83609097e+01  1.87694855e+02  4.96458439e+01
 -1.48979789e+02]",5.61330074784535e-05,7.445626692970109e-08,0.47688841819763184,70.08982931706706,1.0,1,15,True,`gtol` termination condition is satisfied.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,1.57079632679,equal,1000,6000,1000,0,999,4,2.5661503371861243,[0.89372453 0.23185273 0.09179137 0.0443074  0.02411371],"[-8.32667268e-17  7.30420522e-03 -1.50527631e-02 -3.68453242e-03
  1.14330902e-02]","[array([1.23800525e-10]), array([8.29725619e-19]), array([-5.19140286e-11])]","[array([[1.        , 0.50000001, 0.33333333, 0.24999999, 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 1.00000001, 1.        , 1.00000001, 1.        ]])]","[6000, 6000, 6000]","[0, 0, 0]","[0, 0, 0]","[array([-0.70622634]), array([-0.31606284]), array([0.12856465])]",equality_constrained_sqp,"[ 8.29725619e-19 -5.17336874e+00  1.80705373e+01  2.85211311e+00
 -1.57492816e+01]",0.015052763051642576,1.2380052538674136e-10,19.232508182525635,1.0,1.0,0,1000,False,The maximum number of function evaluations is exceeded.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,1.57079632679,covariance,1000,6000,1000,0,999,4,0.648405465942727,[0.96592705 0.25940322 0.10572309 0.052307   0.02907946],"[-1.11022302e-16  7.62230689e-03 -1.56832003e-02 -3.91197424e-03
  1.19728675e-02]","[array([4.28506119e-11]), array([-6.04168465e-19]), array([-9.91047244e-11])]","[array([[1.        , 0.50000001, 0.33333333, 0.24999999, 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 1.00000001, 1.        , 0.99999998, 1.        ]])]","[6000, 6000, 6000]","[0, 0, 0]","[0, 0, 0]","[array([-0.78224773]), array([-0.32302227]), array([0.13934295])]",equality_constrained_sqp,"[-6.04168465e-19 -4.96700807e+00  1.76136822e+01  2.83222920e+00
 -1.54789033e+01]",0.01568320034423465,9.910472442697937e-11,12.59991455078125,1.0,1.0,0,1000,False,The maximum number of function evaluations is exceeded.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,1.57079632679,variance,8,48,8,0,11,1,1.0306382673743475,[0.09649605 0.04613292 0.0288384  0.02016347 0.01502906],"[ 4.33680869e-18  4.54525891e-06  6.41152087e-07 -2.89812976e-05
  2.37948880e-05]","[array([4.91378582e-09]), array([9.1731067e-18]), array([9.74814895e-10])]","[array([[1.        , 0.5       , 0.33333334, 0.25      , 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 0.99999999, 1.00000001, 1.00000004, 1.        ]])]","[48, 48, 48]","[0, 0, 0]","[0, 0, 0]","[array([-0.10374369]), array([0.00150417]), array([0.00574347])]",equality_constrained_sqp,"[ 9.17310670e-18 -1.42684914e+01  3.55818992e+01  1.07258839e+01
 -3.20392917e+01]",2.8981297643437647e-05,4.9137858226799835e-09,0.11052823066711426,139.93216441857436,1.0,1,8,True,`gtol` termination condition is satisfied.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,1.57079632679,deterministic,857,5160,860,0,863,1,0.6114664763423276,[0.1847614  0.07951103 0.04700439 0.03067261 0.02099685],"[-3.12250226e-17  4.55723981e-08  1.87720564e-05 -5.03322505e-05
  3.15146225e-05]","[array([3.92211419e-09]), array([-6.27545955e-17]), array([3.67205644e-09])]","[array([[1.        , 0.5       , 0.33333333, 0.25      , 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 0.99999999, 1.        , 1.00000002, 1.        ]])]","[5160, 5160, 5160]","[0, 0, 0]","[0, 0, 0]","[array([-0.19515214]), array([-0.00767435]), array([0.01806509])]",equality_constrained_sqp,"[-6.27545955e-17 -5.52079455e+01  1.20440322e+02  3.00734820e+01
 -9.53058582e+01]",5.033225052359508e-05,3.922114188981141e-09,6.131665945053101,17.265635088056115,1.0,1,857,True,`gtol` termination condition is satisfied.
power_constrained,Configuration to test the Power Pulses with constraint f(0) = f(1) = 0.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.5, 1.0]","[4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.0,4,1.57079632679,variance_plus_deterministic,469,2820,470,0,479,1,2.0024517096980037,[0.2192567  0.10023709 0.06079414 0.04090918 0.0291527 ],"[ 7.28583860e-17 -1.36959274e-05  5.73142868e-05 -7.06625431e-05
  2.70441851e-05]","[array([-5.06464204e-10]), array([-2.21385422e-16]), array([-1.55074531e-09])]","[array([[1.        , 0.5       , 0.33333333, 0.25      , 0.2       ]]), array([[ 1., -0.,  0.,  0., -0.]]), array([[1.        , 1.00000001, 1.        , 1.00000002, 1.        ]])]","[2820, 2820, 2820]","[0, 0, 0]","[0, 0, 0]","[array([-0.23708376]), array([-0.00046404]), array([0.0182911])]",equality_constrained_sqp,"[-2.21385422e-16 -4.91643376e+01  1.07984146e+02  2.70283018e+01
 -8.58481106e+01]",7.066254308840322e-05,1.5507453099417035e-09,6.955108165740967,258.00765094635005,1.0,1,469,True,`gtol` termination condition is satisfied.
