,name,description,loss,loss_path,weights,a,shift,n,theta,nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
0,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,0.78539816339,30,75,25,0,24,1,2.4880344249311475,[0.66600013 0.21106859],[ 6.70145606e-11 -1.34029177e-10],"[array([4.71134243e-12]), array([1.13328306e-03, 1.99773343e+00])]","[array([[1. , 0.5]]), array([[1., 0.],
       [0., 1.]])]","[75, 0]","[0, 0]","[0, 0]","[array([-0.42213719]), array([-0.24386294,  0.        ])]",tr_interior_point,[1.13328306e-03 1.99773343e+00],1.3402917664606662e-10,4.711342427299314e-12,0.3753697872161865,7510.354865295465,1.0,3.200000000000001e-05,3.200000000000001e-05,1,30,True,`gtol` termination condition is satisfied.
1,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,1.57079632679,37,96,32,0,31,1,2.81584398001608,[0.87471509 0.23355506],[ 6.43071152e-11 -1.28614008e-10],"[array([0.]), array([1.08046801e-03, 1.99783906e+00])]","[array([[1. , 0.5]]), array([[1., 0.],
       [0., 1.]])]","[96, 0]","[0, 0]","[0, 0]","[array([-0.46711012]), array([-0.40760497,  0.        ])]",tr_interior_point,[1.08046801e-03 1.99783906e+00],1.2861400833230618e-10,0.0,0.31620287895202637,7648.1858086479515,1.0,3.200000000000001e-05,3.200000000000001e-05,1,37,True,`gtol` termination condition is satisfied.
2,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,2.35619449019,38,99,33,0,32,1,2.973992571390011,[0.76899981 0.14125081],[ 5.79045145e-11 -1.15809057e-10],"[array([0.]), array([1.06753849e-03, 1.99786492e+00])]","[array([[1. , 0.5]]), array([[1., 0.],
       [0., 1.]])]","[99, 0]","[0, 0]","[0, 0]","[array([-0.28250162]), array([-0.4864982,  0.       ])]",tr_interior_point,[1.06753849e-03 1.99786492e+00],1.1580905678876263e-10,0.0,0.42123937606811523,7537.276431498292,1.0,3.200000000000001e-05,3.200000000000001e-05,1,38,True,`gtol` termination condition is satisfied.
3,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1,3.14159265359,56,153,51,0,50,1,3.0192757025063353,[ 0.49903899 -0.00495713],[ 8.21303026e-11 -1.64260749e-10],"[array([-3.99680289e-15]), array([1.06534372e-03, 1.99786931e+00])]","[array([[1. , 0.5]]), array([[1., 0.],
       [0., 1.]])]","[153, 0]","[0, 0]","[0, 0]","[array([0.00991426]), array([-0.50895326,  0.        ])]",tr_interior_point,[1.06534372e-03 1.99786931e+00],1.6426074909980937e-10,3.9968028886505635e-15,0.2835521697998047,7340.670382456103,1.0,3.200000000000001e-05,3.200000000000001e-05,1,56,True,`gtol` termination condition is satisfied.
4,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,0.78539816339,96,360,90,0,100,1,1.0676170559474045,[0.15599765 0.0625574  0.04170495],[-2.04697370e-16 -6.00985153e-09  9.01477778e-09],"[array([1.77635684e-15]), array([ 1.00828870e-03, -3.02021089e+01,  4.83001384e+01])]","[array([[1.        , 0.5       , 0.33333333]]), array([[1., 0., 0.],
       [0., 1., 0.],
       [0., 0., 1.]])]","[360, 0]","[0, 0]","[0, 0]","[array([-0.12511482]), array([-0.03088283,  0.        ,  0.        ])]",tr_interior_point,[ 1.00828870e-03 -3.02021089e+01  4.83001384e+01],9.01477777842663e-09,1.7763568394002505e-15,0.8937263488769531,4476971.538462724,1.0,2.560000000000001e-07,2.560000000000001e-07,1,96,True,`gtol` termination condition is satisfied.
5,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,1.57079632679,180,692,173,0,185,1,1.1885596290755323,[0.268933   0.11076204 0.07384137],[ 5.10702591e-15 -3.70384071e-09  5.55574581e-09],"[array([-1.77635684e-15]), array([ 1.02700310e-03, -1.71292807e+01,  2.86908401e+01])]","[array([[1.        , 0.5       , 0.33333334]]), array([[1., 0., 0.],
       [0., 1., 0.],
       [0., 0., 1.]])]","[692, 0]","[0, 0]","[0, 0]","[array([-0.2215241]), array([-0.0474089,  0.       ,  0.       ])]",tr_interior_point,[ 1.02700310e-03 -1.71292807e+01  2.86908401e+01],5.555745807850343e-09,1.7763568394002505e-15,1.1093716621398926,973592.3965019936,1.0,1.2800000000000007e-06,1.2800000000000007e-06,1,180,True,`gtol` termination condition is satisfied.
6,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,2.35619449019,185,716,179,0,189,1,1.284460379246569,[0.29979402 0.1214087  0.08093913],[ 9.26751731e-13  9.09913950e-11 -1.39267917e-10],"[array([-2.26219043e-12]), array([ 1.11247142e-03, -1.25755255e+01,  2.18599508e+01])]","[array([[1.        , 0.5       , 0.33333333]]), array([[1., 0., 0.],
       [0., 1., 0.],
       [0., 0., 1.]])]","[716, 0]","[0, 0]","[0, 0]","[array([-0.2428174]), array([-0.05697662,  0.        ,  0.        ])]",tr_interior_point,[ 1.11247142e-03 -1.25755255e+01  2.18599508e+01],1.392679166434263e-10,2.262190434976219e-12,2.06072998046875,76592.74569075598,1.0,6.400000000000003e-06,6.400000000000003e-06,1,185,True,`gtol` termination condition is satisfied.
7,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,2,3.14159265359,210,820,205,0,213,1,1.350759595866815,[0.26772252 0.10191555 0.06794369],[-1.43624862e-10  5.13775737e-09 -7.27576151e-09],"[array([1.42694745e-11]), array([ 1.49632048e-03, -1.01874752e+01,  1.82767238e+01])]","[array([[1.        , 0.5       , 0.33333333]]), array([[1., 0., 0.],
       [0., 1., 0.],
       [0., 0., 1.]])]","[820, 0]","[0, 0]","[0, 0]","[array([-0.2038311]), array([-0.06389142,  0.        ,  0.        ])]",tr_interior_point,[ 1.49632048e-03 -1.01874752e+01  1.82767238e+01],7.275761507163914e-09,1.4269474490902212e-11,2.037827968597412,14684.504763574068,1.0,3.200000000000001e-05,3.200000000000001e-05,1,210,True,`gtol` termination condition is satisfied.
8,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,3,0.78539816339,66,295,59,0,85,1,1.0666252949687363,[0.16011654 0.06602079 0.04401386 0.0330104 ],[ 1.38777878e-17 -1.80040370e-09  1.85424592e-11  3.57608412e-09],"[array([-3.55271368e-15]), array([ 1.00182360e-03, -3.32575776e+01,  6.02923301e+01, -9.87862543e+00])]","[array([[1.        , 0.5       , 0.33333333, 0.25      ]]), array([[1., 0., 0., 0.],
       [0., 1., 0., 0.],
       [0., 0., 1., 0.],
       [0., 0., 0., 1.]])]","[295, 0]","[0, 0]","[0, 0]","[array([-0.13204158]), array([-0.02807496,  0.        ,  0.        ,  0.        ])]",tr_interior_point,[ 1.00182360e-03 -3.32575776e+01  6.02923301e+01 -9.87862543e+00],3.576084123269041e-09,3.552713678800501e-15,0.9396138191223145,16782207.676526085,1.0,5.120000000000003e-08,5.120000000000003e-08,1,66,True,`gtol` termination condition is satisfied.
9,power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerLoss,pulse_opt.integrals.losses,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,3,1.57079632679,109,495,99,0,122,1,1.185134872903212,[0.26244998 0.10240309 0.06826874 0.05120156],[ 4.85722573e-17 -7.65650938e-09  4.79039543e-09  8.92582496e-09],"[array([-9.63673585e-14]), array([ 1.00017764e-03, -1.41478083e+01,  1.68651493e+01,  9.80475011e+00])]","[array([[1.        , 0.5       , 0.33333333, 0.25      ]]), array([[1., 0., 0., 0.],
       [0., 1., 0., 0.],
       [0., 0., 1., 0.],
       [0., 0., 0., 1.]])]","[495, 0]","[0, 0]","[0, 0]","[array([-0.2048062]), array([-0.05764378,  0.        ,  0.        ,  0.        ])]",tr_interior_point,[ 1.00017764e-03 -1.41478083e+01  1.68651493e+01  9.80475011e+00],8.925824961092399e-09,9.636735853746359e-14,1.3704140186309814,49964318.3938718,1.0,1.0240000000000006e-08,1.0240000000000006e-08,1,109,True,`gtol` termination condition is satisfied.
