config.name,config.description,config.content.factory,config.content.factory_path,config.content.factory_args,config.content.ansatz_name,config.content.loss,config.content.loss_path,config.content.variable_args.shift,config.content.variable_args.n,config.content.variable_args.theta,config.content.variable_args.weights,config.content.static_args.a,config.content.static_args.has_vanishing_endpoints,args.a,args.has_vanishing_endpoints,args.shift,args.n,args.theta,args.weights,results.nit,results.nfev,results.njev,results.nhev,results.cg_niter,results.cg_stop_cond,results.fun,results.grad,results.lagrangian_grad,results.constr,results.jac,results.constr_nfev,results.constr_njev,results.constr_nhev,results.v,results.method,results.x,results.optimality,results.constr_violation,results.execution_time,results.tr_radius,results.constr_penalty,results.status,results.niter,results.success,results.message
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,0.78539816339,equal,471,3304,472,0,491,1,0.9375678624721779,[ 0.11198916 -0.00124211  0.00887928 -0.00032483  0.00126286 -0.00012124],"[-1.21743127e-08  5.90835841e-06  2.92183926e-07 -1.28231551e-05
 -9.73947825e-07 -4.32411149e-05]","[array([-6.14360118e-10]), array([-1.10594436e-06]), array([-6.90241322e-06])]","[array([[ 0.99999999, -0.        ,  0.08333333,  0.        ,  0.0125    ,
        -0.        ]]), array([[ 0.99999975, -0.49999999,  0.25      , -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[1.00000143, 0.50000002, 0.25      , 0.125     , 0.0625    ,
        0.03125   ]])]","[3304, 3304, 3304]","[0, 0, 0]","[0, 0, 0]","[array([-0.11470985]), array([0.00011232]), array([0.00260835])]",equality_constrained_sqp,"[-1.13733320e+00 -7.21170817e+01  5.72960208e+01  1.44184891e+03
 -2.10986816e+02 -4.61352241e+03]",4.324111489174854e-05,6.902413218767833e-06,6.896613597869873,7104.755422382756,1.0,1,471,True,`gtol` termination condition is satisfied.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,0.78539816339,covariance,253,1771,253,0,275,4,-0.9137067695153255,[ 0.14372049 -0.00377435  0.01166004 -0.00095988  0.00168287 -0.00024691],"[-2.13695696e-07  4.46463362e-06  5.12869585e-06 -1.51744991e-05
 -1.70956503e-05 -1.07361409e-05]","[array([-3.07340819e-11]), array([-1.49061918e-09]), array([1.56006763e-09])]","[array([[ 0.99999999, -0.        ,  0.08333333,  0.        ,  0.0125    ,
        -0.        ]]), array([[ 1.00000008, -0.5       ,  0.24999999, -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[1.00000082, 0.5       , 0.25000001, 0.125     , 0.0625    ,
        0.03125   ]])]","[1771, 1771, 1771]","[0, 0, 0]","[0, 0, 0]","[array([-0.14565158]), array([-0.00281338]), array([0.00474425])]",equality_constrained_sqp,"[-1.28310480e+00 -5.52309148e+01  6.07945152e+01  1.18184443e+03
 -2.22648384e+02 -3.84368309e+03]",1.7095650278287013e-05,1.560067630634876e-09,1.9691431522369385,14353.531572565702,1.0,1,253,True,`gtol` termination condition is satisfied.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,0.78539816339,variance,6,42,6,0,6,4,1.003341785892657,"[ 1.32014113e-02 -7.16775708e-04  9.43383402e-04 -1.30954872e-04
  1.29264660e-04 -2.57410874e-05]","[ 1.29193568e-07 -1.24257062e-05 -3.10064536e-06  4.51326281e-05
  1.03354843e-05  1.82807877e-05]","[array([-2.27208341e-09]), array([-3.88578059e-16]), array([1.63475383e-08])]","[array([[ 1.        ,  0.        ,  0.08333333, -0.        ,  0.0125    ,
        -0.        ]]), array([[ 0.99999999, -0.5       ,  0.25      , -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[1.00000001, 0.5       , 0.25      , 0.125     , 0.0625    ,
        0.03125   ]])]","[42, 42, 42]","[0, 0, 0]","[0, 0, 0]","[array([-0.01412302]), array([-0.00024348]), array([0.00116522])]",equality_constrained_sqp,"[  1.4365317    6.29458191  -4.476761   -23.01213531  -5.07746312
  -8.66476912]",4.513262805266752e-05,1.6347538267513784e-08,0.027611494064331055,123.2469623956578,1.0,1,6,True,`gtol` termination condition is satisfied.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,0.78539816339,deterministic,12,91,13,0,20,1,0.47026212166686543,[ 0.16642058 -0.00700718  0.01276236 -0.00177069  0.00183052 -0.00037442],"[ 9.40985547e-07  7.06675656e-07 -2.25836602e-05 -1.87187753e-05
  7.52788873e-05  6.35682907e-05]","[array([3.57298635e-11]), array([-4.90890883e-10]), array([-4.90888219e-10])]","[array([[ 1.        ,  0.        ,  0.08333333, -0.        ,  0.0125    ,
        -0.        ]]), array([[ 1.0000002 , -0.5       ,  0.25000005, -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[1.0000002 , 0.5       , 0.25000005, 0.125     , 0.0625    ,
        0.03125   ]])]","[91, 91, 91]","[0, 0, 0]","[0, 0, 0]","[array([-0.17291977]), array([-0.00375782]), array([0.01025795])]",equality_constrained_sqp,"[   1.43224068   69.48056846   -4.37377643 -254.77664217   -5.42074524
  -92.58252675]",7.527888726339917e-05,4.90890883497741e-10,0.23990941047668457,98.40584032378658,1.0,1,12,True,`gtol` termination condition is satisfied.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,0.78539816339,variance_plus_deterministic,12,98,14,0,24,2,1.8600940896850506,[ 0.16097244 -0.00550606  0.01209164 -0.00132984  0.00169899 -0.0002939 ],"[ 9.59175573e-07 -1.38854502e-05 -2.30202076e-05  4.32004344e-05
  7.67340040e-05  4.93654654e-05]","[array([3.41384698e-11]), array([-1.65982783e-11]), array([-1.65991665e-11])]","[array([[ 1.        ,  0.        ,  0.08333333, -0.        ,  0.0125    ,
        -0.        ]]), array([[ 1.00000015, -0.5       ,  0.24999996, -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[1.00000015, 0.5       , 0.24999996, 0.125     , 0.0625    ,
        0.03125   ]])]","[98, 98, 98]","[0, 0, 0]","[0, 0, 0]","[array([-0.16876923]), array([-0.0015933]), array([0.00939105])]",equality_constrained_sqp,"[   1.43278387   60.40795191   -4.38681294 -221.43621871   -5.37729021
  -80.78235566]",7.673400403733271e-05,3.4138469828803863e-11,0.40425539016723633,51.87739228813279,1.0,1,12,True,`gtol` termination condition is satisfied.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,1.57079632679,equal,1000,7000,1000,0,999,4,2.52281271979785,[ 0.88232063 -0.21298458  0.0824075  -0.03089169  0.0129748  -0.00542351],"[-8.23780093e-06 -5.70290714e-03  1.97707136e-04  2.09287308e-02
 -6.59023721e-04  7.53159127e-03]","[array([5.00133268e-12]), array([-8.74578188e-13]), array([-8.74578188e-13])]","[array([[ 1.        ,  0.        ,  0.08333333, -0.        ,  0.0125    ,
        -0.        ]]), array([[ 1.     , -0.5    ,  0.25   , -0.125  ,  0.0625 , -0.03125]]), array([[1.     , 0.5    , 0.25   , 0.125  , 0.0625 , 0.03125]])]","[7000, 7000, 7000]","[0, 0, 0]","[0, 0, 0]","[array([-0.83023456]), array([-0.23332882]), array([0.18123452])]",equality_constrained_sqp,"[  1.49624789   7.27222896  -5.90994939 -26.68122678  -0.30016872
  -9.63075631]",0.020928730756673217,5.001332681331405e-12,17.57239580154419,1.0,1.0,0,1000,False,The maximum number of function evaluations is exceeded.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,1.57079632679,covariance,1000,7000,1000,0,999,4,0.6329496204281702,[ 0.94345872 -0.21975334  0.08600706 -0.03188339  0.01345425 -0.00559642],"[-6.35951954e-06 -5.88178474e-03  1.52628481e-04  2.15844999e-02
 -5.08761816e-04  7.77055579e-03]","[array([3.09241521e-12]), array([-3.42335604e-11]), array([3.45640738e-11])]","[array([[ 1.        ,  0.        ,  0.08333333, -0.        ,  0.0125    ,
        -0.        ]]), array([[ 1.00000001, -0.5       ,  0.25      , -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[0.99999999, 0.5       , 0.25      , 0.125     , 0.0625    ,
        0.03125   ]])]","[7000, 7000, 7000]","[0, 0, 0]","[0, 0, 0]","[array([-0.900071]), array([-0.23556859]), array([0.19217452])]",equality_constrained_sqp,"[  1.49252785   6.87501817  -5.82066843 -25.22662445  -0.59777189
  -9.09379285]",0.02158449992088433,3.456407382529392e-11,10.013505458831787,1.0,1.0,0,1000,False,The maximum number of function evaluations is exceeded.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,1.57079632679,variance,8,56,8,0,14,1,1.0324587221834116,[ 0.10303793 -0.00272157  0.00724338 -0.00065317  0.00097901 -0.00014249],"[ 1.07751850e-06 -8.00004836e-06 -2.58604428e-05  2.52219304e-05
  8.62014785e-05  2.71130523e-05]","[array([4.08371115e-10]), array([3.76216491e-09]), array([-3.94179966e-09])]","[array([[ 1.        ,  0.        ,  0.08333334, -0.        ,  0.0125    ,
        -0.        ]]), array([[ 0.99999999, -0.5       ,  0.25000001, -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[0.99999999, 0.5       , 0.25000001, 0.125     , 0.0625    ,
        0.03125   ]])]","[56, 56, 56]","[0, 0, 0]","[0, 0, 0]","[array([-0.11093983]), array([0.00123792]), array([0.00666506])]",equality_constrained_sqp,"[  1.40172042  12.44077917  -3.64129009 -45.51853772  -7.86236638
 -16.97831601]",8.620147849700905e-05,3.941799664453072e-09,0.06677126884460449,132.41782812461648,1.0,1,8,True,`gtol` termination condition is satisfied.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,1.57079632679,deterministic,906,6363,909,0,931,4,0.2512425563436721,[ 0.10368184 -0.0032868   0.00812247 -0.00082796  0.00113329 -0.00021966],"[-8.51581356e-08  2.30281112e-06  2.04379524e-06 -5.68770299e-06
 -6.81265075e-06 -1.40941666e-05]","[array([4.50306459e-13]), array([1.96045605e-07]), array([4.05920986e-08])]","[array([[ 1.        , -0.        ,  0.08333333,  0.        ,  0.0125    ,
        -0.        ]]), array([[ 1.        , -0.5       ,  0.24999998, -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[1.        , 0.5       , 0.25000001, 0.125     , 0.0625    ,
        0.03125   ]])]","[6363, 6363, 6363]","[0, 0, 0]","[0, 0, 0]","[array([-0.10680033]), array([-0.0017299]), array([0.00484831])]",equality_constrained_sqp,"[-7.16136279e-01 -3.94530468e+01  4.71872700e+01  1.02060455e+03
 -1.77290898e+02 -3.45116946e+03]",1.4094166579470247e-05,1.9604560463903908e-07,5.306206226348877,4313.917766306913,1.0,1,906,True,`gtol` termination condition is satisfied.
power_small,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n', 'has_vanishing_endpoints']",Power series,PowerLoss,pulse_opt.integrals.losses,[0.5],"[5, 7]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,True,1.0,True,0.5,5,1.57079632679,variance_plus_deterministic,473,3311,473,0,492,4,1.966129333099854,[ 0.1930371  -0.01115447  0.01581457 -0.00284402  0.00232667 -0.00062755],"[-5.43412156e-08  8.90880383e-06  1.30418899e-06 -5.31765048e-05
 -4.34729601e-06  7.01651591e-05]","[array([-1.2922996e-13]), array([-8.8817842e-16]), array([1.43746082e-09])]","[array([[ 1.        ,  0.        ,  0.08333333, -0.        ,  0.0125    ,
        -0.        ]]), array([[ 0.99999995, -0.5       ,  0.25      , -0.125     ,  0.0625    ,
        -0.03125   ]]), array([[0.99999995, 0.49999999, 0.25      , 0.125     , 0.0625    ,
        0.03125   ]])]","[3311, 3311, 3311]","[0, 0, 0]","[0, 0, 0]","[array([-0.19467615]), array([-0.01034388]), array([0.01198288])]",equality_constrained_sqp,"[  -2.47387375   32.98344857   89.37296994 -110.35332288 -317.90989979
  -86.32188552]",7.016515912532925e-05,1.4374608170442116e-09,4.884007453918457,735.8105620982986,1.0,1,473,True,`gtol` termination condition is satisfied.
